season,episode,first_bet,multiplicator,bonus,lars_fish,florentin_fish,lars_bet,florentin_bet,result
1,1,f,1,2,0,0,23,7,236
1,1,l,1,0,0,0,189,32082,3689
1,1,l,1,0,0,0,12,180,212
1,1,f,1,0,0,0,15000,71,59
1,1,l,2,0,0,1,17,518,507
1,1,f,1,0,0,0,7,2,14
1,1,l,1,0,0,0,7,31,50
1,1,f,1,0,0,0,22,1,236
1,1,f,2,0,1,0,963,1039,4623
1,1,f,1,0,0,0,4,49,62
1,2,l,1,0,0,0,32,23,60
1,2,l,1,0,0,0,33,4,8
1,2,f,1,0,0,0,66,2374,24549
1,2,l,1,0,0,0,190,70,8
1,2,l,1,0,0,0,650,209,55
1,2,f,1,0,0,0,301,7,24
1,2,l,1,0,0,0,80,104,338
1,2,f,2,0,1,0,43,1,61
1,2,l,1,0,0,0,9,5,18
1,2,l,2,0,0,1,333,79,269
1,2,f,1,0,0,0,66,296,889
1,2,l,1,0,0,0,199,404,770
1,2,f,1,0,0,0,19,38,90
1,3,l,1,0,0,0,7,17,1093
1,3,l,1,0,0,0,6,2,10
1,3,f,1,0,0,0,33,83,43
1,3,f,2,0,1,0,5,12,329
1,3,f,1,0,0,0,128,909,22
1,3,l,1,0,0,0,1001,2103,249
1,3,f,1,0,0,0,29,20,102
1,3,l,1,0,0,0,104,1004,117
1,3,f,1,0,0,0,14,38,295
1,3,l,1,0,0,0,11,5,25
1,3,l,1,0,0,1,3000,13488,1311
1,4,f,1,0,0,0,523,63,30
1,4,l,1,0,0,0,23,109,521
1,4,f,1,0,0,0,46,208,769
1,4,l,1,0,0,0,200,686,324
1,4,f,2,0,1,0,66,5,353
1,4,l,1,0,0,0,19,90,30
1,4,l,1,0,0,0,100,7,8
1,4,l,1,2,0,1,49,99,294
1,4,f,1,0,0,0,11,2,7
1,4,l,1,0,0,0,13,16,60
1,4,f,1,0,0,0,230,82,85
1,4,l,1,0,0,0,33,6,35
1,4,f,1,0,0,0,5,0,72
1,5,l,1,0,0,0,66,17,10
1,5,f,1,0,0,0,12,4,17
1,5,l,1,0,0,0,20,10,114
1,5,f,1,0,0,0,5,38,51
1,5,l,2,0,0,0,61,22,108
1,5,l,2,0,0,1,22,133,95
1,5,l,1,0,0,0,11,41,17
1,5,f,1,0,0,0,16,4,24
1,5,f,1,0,0,0,1000,508,10315
1,5,l,1,0,0,0,38,272,1579
1,5,f,1,0,0,0,19,370,10
1,5,f,1,0,0,0,400,12803,3735
1,5,l,1,0,0,0,38,8,38
1,5,f,1,0,1,0,100,2709,9404
1,6,l,1,0,0,0,22,67,274
1,6,f,1,0,0,0,100,3,467
1,6,l,1,0,0,0,10000,1001,1631
1,6,f,1,0,0,0,736,74,70
1,6,l,1,0,0,0,102,609,20
1,6,f,2,0,0,0,23,14,76
1,6,l,1,0,0,0,61,29,92
1,6,f,1,0,0,0,51,443,49
1,6,l,1,0,0,0,20,9,37
1,6,f,1,0,0,0,99000,383712,468
1,6,l,1,0,0,0,222,11,58
1,6,f,1,0,0,0,19,54,15
1,6,l,4,0,1,1,38,60,17
1,6,f,1,0,0,0,236,16,76
1,6,l,1,0,0,0,11,3,307
1,6,f,1,0,0,0,333,841,423
1,7,l,1,0,0,0,100,211,9
1,7,f,1,0,0,0,44,976,6745
1,7,l,1,0,0,0,26,7,26
1,7,f,1,2,0,0,301,577,457
1,7,l,1,0,0,0,99,19,12
1,7,f,1,0,0,0,56,31,68
1,7,l,2,0,0,1,1111,812,15
1,7,f,1,0,0,0,12,3,5
1,7,l,1,0,0,0,65,104,788
1,7,l,1,0,0,0,100,399,63
1,7,f,1,0,0,0,330,77,320
1,7,l,1,0,0,0,23,14,11
1,7,f,2,0,1,0,1203,617,121
1,8,l,1,0,0,0,30,89,1575
1,8,f,1,0,0,0,1000,209,19
1,8,l,1,0,0,0,4,7,335
1,8,f,1,0,0,0,56,311,8
1,8,l,1,0,0,0,38,8,108
1,8,f,1,0,0,0,12,45,39
1,8,l,1,0,0,0,23,70,28
1,8,f,1,0,0,0,44,123,20
1,8,l,1,0,0,0,303,2809,18
1,8,f,1,0,0,0,30000000,315,7
1,8,l,2,0,1,0,5,1,9
1,8,f,1,0,0,0,1000,18404,48
1,8,l,1,0,0,0,1,14,147
1,8,f,1,0,0,0,1000,308,15608
1,8,f,1,0,0,1,8,17,156
1,9,f,1,0,0,0,100,1376,91
1,9,l,1,0,0,0,33,808,85
1,9,f,1,0,0,0,26,7,24
1,9,l,2,0,0,0,300,5322,56
1,9,f,1,0,0,0,11,38,2446
1,9,l,2,0,0,0,100,16,558
1,9,f,1,0,0,0,8,232,0
1,9,f,2,0,1,0,89,46,72
1,9,l,1,0,0,0,6,89,43
1,9,l,1,2,0,1,99,5933,30663
1,9,f,1,0,0,0,3333,416,535
1,9,l,1,0,0,0,101,717,494
1,9,f,1,0,0,0,38,2,34
1,9,l,1,0,0,0,50,100,75
1,9,f,1,0,0,0,66,119,69
1,9,l,1,0,0,0,129,58,295
1,9,f,1,0,0,0,26,25,68
1,10,f,1,0,0,0,303,41,58
1,10,l,1,0,0,0,113,17,14
1,10,l,1,0,0,0,16,3,21
1,10,f,1,0,0,0,412,97,134010
1,10,l,1,0,0,0,99,1717,716
1,10,f,1,0,0,0,33,8,32
1,10,l,1,0,0,0,22,246,2171
1,10,l,1,2,0,1,100,4875,12
1,10,f,1,0,0,0,10523,498,1721
1,10,l,1,0,0,0,11,151,267
1,10,f,2,0,1,0,124,709,7
1,10,l,1,0,0,0,36,998,3
1,10,l,1,0,0,0,100000,14007,454
1,10,l,1,0,0,0,11,211,85
1,10,f,1,0,0,0,11,10,15
1,11,f,1,0,0,0,166,18,36
1,11,l,1,0,0,0,1111,373,2
1,11,f,1,0,0,0,404,99,174
1,11,f,2,0,0,0,1000,7,236
1,11,l,1,0,0,0,74,802,84
1,11,l,1,0,0,0,300,2821,7104
1,11,f,1,0,0,0,66,12,405
1,11,f,1,0,0,0,1064,64868,2062
1,11,l,1,0,0,0,69,8,8
1,11,f,1,0,0,0,99,18,35
1,11,l,1,0,0,0,100,767,585
1,11,f,2,0,1,0,26,191,88
1,11,l,2,0,0,1,17,88,6
1,11,f,1,0,0,0,7,16,72
1,11,l,1,0,0,0,9,3,94
1,12,f,1,0,0,0,13,3,320
1,12,l,1,0,0,0,100,19,33
1,12,l,1,0,0,0,222,408,84
1,12,f,2,0,0,0,11,9,122
1,12,l,1,0,0,0,23,604,5202
1,12,f,1,0,0,0,33,182,20
1,12,l,1,0,0,0,99,801,39
1,12,f,1,0,0,0,29,8,18
1,12,l,1,0,0,0,333,1830,130
1,12,f,1,0,0,0,38,5,1
1,12,f,1,0,0,0,123,49,80
1,12,l,1,0,0,0,8,20,10
1,12,f,2,0,1,0,56,90,23
1,12,l,1,0,0,0,5,27,15
1,12,f,1,0,0,0,13,5,8
1,12,l,1,0,0,0,5,14,18
1,12,f,1,0,0,1,2500,207,97
1,13,f,1,0,0,0,66,4,32
1,13,l,1,0,0,0,18,5,27
1,13,l,1,0,0,0,100,20,19
1,13,f,4,0,0,1,33,107,8
1,13,l,1,0,0,0,26,89,217
1,13,f,1,0,0,0,100,29,196
1,13,l,1,0,0,0,9,43,589
1,13,f,1,0,0,0,50,2861,497
1,13,l,1,0,0,0,3,200,17
1,13,f,1,0,0,0,16,51,2
1,13,l,1,0,0,0,14,130,15
1,13,f,2,0,1,0,133,53,5806
1,13,l,1,0,0,0,3,809,70
1,13,f,1,0,0,0,30000,17,16
1,14,f,1,0,0,0,10223,768,7812
1,14,l,1,0,0,0,383,83,18
1,14,f,1,0,0,0,3121,807,368
1,14,f,1,0,0,0,1000,16,11
1,14,f,1,0,0,0,16,3,18
1,14,l,1,0,0,0,20,317,6
1,14,f,1,0,0,0,300,4878,994
1,14,l,1,0,0,0,33,9,3336
1,14,l,1,2,0,1,16,890,2118
1,14,f,1,0,0,0,11,73,1
1,14,l,1,0,0,0,1000,5,104
1,14,l,1,0,0,0,9,1,7
1,14,f,2,0,1,0,27,50,515
1,15,l,1,0,0,0,27,13,21
1,15,f,1,0,0,0,500,2,31
1,15,l,1,0,0,0,55,7,31
1,15,l,1,0,0,0,76,0,123
1,15,f,2,2,0,0,145,638,149
1,15,l,1,0,0,0,1,41,112
1,15,f,1,0,0,0,13,89,5261
1,15,l,1,0,0,0,20000,911,1814
1,15,l,2,0,0,1,10666,4811,356032
1,15,l,1,0,0,0,666,9,37
1,15,f,1,0,0,0,333,412,465
1,15,f,2,0,1,0,13,40,28
1,15,l,1,0,0,0,11,133,445
1,15,f,1,0,0,0,77,8,91
1,15,f,1,0,0,0,133,4,5
1,15,l,1,0,0,0,139,39,77
1,15,f,1,0,0,0,99,30,20
1,16,l,1,0,0,0,430,1308,80
1,16,f,1,0,0,0,188,9,124
1,16,l,1,0,0,0,99,11,1442
1,16,l,1,2,0,1,89,209,35
1,16,f,1,0,0,0,33,34,683
1,16,l,1,0,0,0,12,302,252
1,16,f,1,0,0,0,14,41,8
1,16,l,1,0,0,0,100,6,9
1,16,f,2,2,1,0,120,893,546
1,16,l,1,0,0,0,50,15,15
1,16,f,1,0,0,0,20,101,261
1,16,l,1,0,0,0,55,25,99
1,16,f,2,0,0,0,600,911,84
1,16,l,1,0,0,0,27,86,4
1,16,l,1,0,0,0,3000,1709,5426
1,16,f,1,0,0,0,100,99,4
2,1,l,1,0,0,0,4,8,1203
2,1,f,1,0,0,0,99,31,1605
2,1,l,1,0,0,0,11,97,142
2,1,l,1,0,0,0,63,9,4
2,1,f,1,2,0,0,100,688,104
2,1,f,1,0,0,0,50,23,188
2,1,l,1,0,0,0,77,1204,10
2,1,f,1,0,0,0,12,204,3
2,1,l,1,0,0,0,168,5,159
2,1,f,1,0,0,0,33,2769,18
2,1,f,2,0,1,0,300,12,39
2,1,l,1,0,0,1,11,21,215
2,2,l,1,0,0,0,67,7,5
2,2,f,1,0,0,0,18,3,9
2,2,l,1,0,0,0,222,19,87
2,2,f,1,0,0,0,81,207,163
2,2,l,1,0,0,0,200,3960,102
2,2,l,1,2,0,1,8,14,51
2,2,f,1,0,0,0,63,8,64
2,2,l,1,0,0,0,3,27,151
2,2,f,2,0,1,0,33,101,2
2,2,l,1,0,0,0,1111,481,701991
2,2,f,1,2,0,0,679,3706,1684
2,2,l,1,0,0,0,333,2550,30243
2,3,l,1,0,0,0,9,16,21
2,3,f,1,0,0,0,100,6809,1795
2,3,l,1,0,0,0,96,808,0
2,3,f,1,0,0,0,33,106,7
2,3,l,1,0,0,0,3,29,10
2,3,f,1,2,0,0,17,9,72
2,3,l,1,0,0,0,111,2307,338
2,3,f,1,0,0,0,18,103,447
2,3,l,2,0,0,1,31,16,62
2,3,f,1,0,0,0,1100,17,5
2,3,l,1,0,0,0,14,499,3
2,3,f,1,0,0,0,11,4,9
2,3,l,1,0,0,0,66,21,26
2,3,f,1,0,0,0,8,34,74
2,3,f,1,0,0,0,16,1809,52
2,3,f,1,2,1,0,33,5,76
2,3,l,1,0,0,0,2,49,3
2,3,f,1,0,0,0,330,20,499
2,4,f,1,0,0,0,221,1309,386
2,4,l,1,0,0,0,311,89,491
2,4,f,1,0,0,0,67,17,18
2,4,f,1,0,0,0,13,88,7
2,4,l,1,0,0,0,100,17399,587
2,4,f,1,0,0,0,44,97,199
2,4,l,1,0,0,0,3,24,71
2,4,f,1,2,0,0,9,2,4
2,4,l,1,0,0,0,13,1,2
2,4,f,2,0,1,0,66,20,4
2,4,l,1,0,0,0,26,6,11
2,4,f,1,0,0,0,33,12,47
2,4,f,1,0,0,0,120,290,110
2,4,f,1,0,0,0,43,619,187
2,4,l,1,0,0,1,4,263,18
2,5,f,1,0,0,0,13,4,13
2,5,l,1,0,0,0,1000,38,183
2,5,l,1,0,0,0,1914,813,38769
2,5,f,1,0,0,0,13,6,23
2,5,l,1,0,0,0,300,11900,70620
2,5,l,1,0,0,0,44,798,3302
2,5,l,1,2,0,1,33,91,18
2,5,f,1,0,0,0,99,171,1458
2,5,l,1,0,0,0,10,85,39
2,5,f,1,0,0,0,238,77,11
2,5,l,2,0,1,0,66,409,9
2,5,f,1,0,0,0,10222,683,1345
2,5,f,1,0,0,0,260,501,624
2,5,l,1,0,0,0,6667,110,337
2,5,f,1,0,0,0,123,466,32
2,5,l,1,0,0,0,88,8,20
2,5,l,1,0,0,0,2,37,30
2,6,l,1,1,0,0,33,12,58
2,6,f,1,0,0,0,3690,11401,87548
2,6,l,1,0,0,0,830,83,499
2,6,f,2,0,0,0,1000,217,1746
2,6,l,1,0,0,0,200,37,86
2,6,f,1,0,0,0,34,209,19
2,6,f,1,0,0,0,730,499,1664
2,6,l,1,0,0,0,12,134,4
2,6,f,1,0,0,0,100,307,1053
2,6,l,1,0,0,0,217,26,25
2,6,f,1,0,0,0,66,167,37
2,6,f,1,0,0,0,9,17,96
2,6,f,1,2,1,0,18,21,442
2,6,l,1,0,0,0,26,13,45
2,6,l,1,0,0,1,129,62,162
2,7,l,1,0,0,0,258,84,178
